word;meaning
A tíṇ bo;Call her here.
a yéi ; her husband
A bóyemi;She is coming
Ọ sóoo, dụụ wa;All of you
bíḅị akị nàá kịmị bii ;ask someone for an explanation
árụ akí ṇ àá ye saị;load something into a canoe
I bódọụ wàáà?; Have you come?
Emí yàáà?;Are (you) living? 
Emí yàáà?;Is it there?
Emí yàáà?;Are (you) alive ?
 Ínyò;Is she coming?
U boghá aba, ebighá ;If he does not come, it is not good.
Kama abághàị kị abaghaịyémèé;she is moving about and muttering in confusion or annoyance (like a bee buzzing near a source of nectar).
Kama abághàị kị abaghaịyémèé;he is moving about and muttering in confusion or annoyance (like a bee buzzing near a source of nectar).
 abịrịwá gbà; sing such a song 
adákàyú adákàyú kàámèé;full of complaints about this or that
Arí ̣ ma bei èsebọọ tẹ́ịgha o, adamálìḳ á kì ̣ páadọụ wòó!;"I cannot escape this problem; it’s an inextricable situation!"
adị diín ;"clear channel as water begins to rise;"
adịí p̣ ẹ̀lẹí; ̣begin to recede (of flood- water from a channel)
Adịí p̣ ẹ̀lẹíḍ ọ;"The water has receded from the channel (and it is time to remove the lobster-pots); adị pịtẹ́ fish in a dug-out channel;"
adị soú ; dig a channel (work done by men, especially in- laws)
adị sụọ́;(of water) enter a channel
Adịí ṣ ụọdọ;Water has entered the channel (and it is time to set traps).
Agáụ̀n ghọ tẹ́ịdọ ;(He is) free from further attempts (in the game of ogólo)
agbá tèrí ;attack militarily or otherwise
agbá yọọrọ; become full (of moon)
agbá teri; entertain a dance group with things
agba ghọ bọọ́ ;become the exception(s) in a group who suffer some injury, such as a wasp-sting or a hit by a bullet or missile
agbáị gbein; fight by throwing fresh sticks cut by women (esp. between two quarters or towns)
agbáị pẹlẹ;cut sticks for missiles (by women, who stand behind men to supply them)
idúmu agbaị;empty palm-bunch after extraction of nuts
agbobú kụ̀rọ́ ;be courageous
Bịdẹbí ạ̀ gun-agún bèni ki nanamị;The cloth has a purple colour.
Kímịbị àgụá kọ̀rịdọọ́;he man has been seized by supernaturally-caused weakness
Wo aká tùu dọọnyemí ; He has toothache
aká tụa ;replace tooth that has fallen out
apálị aka ; two teeth growing from the place of one
buru fị ákà;first four milk-teeth
ukuka aká;molar tooth
aká baị ;turn under the edge (of a cloth), hem (a cloth)
Akalụ́ lọ̀kọ-lọkọ-lọkọ Kụ́raị kụraị yè iné ẹrị yo!;Moon of peace May I see you every time!
Akalụ́ lọ̀kọ-lọkọ Bó baị kị, ineé ùkie Mú baị ya, ineé ùkie kụ́mọ ;Moon of peace When you come, think of me When you go, don’t think of me!
 Ine gbeín ìngbekebi wárị akpàkpa kị akara bọ́ọmị;The stick that I threw barely hit the wall.
Erí Òlógbòsí nàmamọ akịmị; He took Cat’s animals
Wónì abábùrú àkị nị ọkpụ́nkọ̀rọ mịẹyémi; We use cassava to make cassava fufu
 Erí kẹ̀nị égbèri gba nị akí ṇ àá ụ̀ pịrịmí;He told him a story
opu akpá ;stomach of animals
 Béi kịmì ḳ ọ́kọ nì ̣ akpákpa nanamị ;This person really has strength.
fúnberi-palị-akpalụ; small tree-frog
máì nimi kụ́mọ ;Let the towns(people) not know me (said when someone is trying to deceive people)
Amá gbẹdịbọ kịmị kị àkị bólou ghọ tụanìmí ;The person who abuses a town has a particular person in mind.
ama siín; confess adultery or other crimes before the elders at the ancestral shrine
Te bará à?;How was it?
Ama bará! ;Victory!
Ama bará! ;Success!
andá bii; invite someone to wrestle
 andá mọ òwou mọ́ ;with struggle and strain
 Erí àngalangaá tùngboíyemi; He is turning a somersault.
Angalu kí àkị i diiméèé;He looked at me disapprovingly.
fúròú àngị ;draw in stomach
anií dùo ni ;as a result of that
anií dìiya;instead of that
 Anií, yé pàa barabị;So it happened.
anị ába; that being so
anịbí; ̣that is
anịghá kpọ̀ ;if not
anị kpekẹnị barabí; ̣in the same manner
anị kí ṇ ì ạ nị ẹ́bẹ kpọ;even if it is so
 anị kpọ́ ;even then
anị ní ̣so;therefore
 apálị puu ;ceremonially break tie between living and dead before burial
