word;meaning
 bẹrí;open very wide
bẹrịmọ́ ;widen 
bẹ́rụụ ; dirty and dusty as cloth
bẹseríbẹ̀serí ;everlasting,for ever and ever
bẹụ́ụ̀ ; smooth , level
 bíḅị bii ;ask question
bẹ́rẹtọbọụ; child born of a big bride-price marriage
yébiowei;diviner, soothsayer
sọ́ọnlọ bìí;extract by careful questioning
 biibịbí ̣;question
yé bìín;be many (of things)
kíṃị bìín ;be many (of people) 
bilabilá;describes freshly growing leaves 
biín;be many, plentiful
bií; request, ask (question), consult oracle or deity, ask after greet  
 bilé; dive,sink, drown,be flooded
yọ́ bìlé ;(of place) be flooded
bilemọ́;dive towards
bilemọọ́ ;make sink, flood
biiyé; request  
biné; beat (of heart)
binmọọ́ ;make many,plentiful 
bíou;mind,courage,will-power 
beni birí; be circumcized
bíogbò; trouble (someone), be troublesome
bíri erè ;newly circumcized woman
biné;play (bugle, flute)
bíri warì;the house in which the circumcized woman and her followers stay
bíri warì ḍumaama ;songs of rites of passage
bíri warì ̣ erewọụama;girls attending the circumcized woman
bíri; be circumcized
bíri;ward or quarter (of town) compound  
bíri;belly
bíri baan;be terribly annoyed,be vexed
bíri baan;trunk (of tree),stem
 tíṇ biri;trunk of tree
tọ́rụ biri ;middle of river
bíri;value, price, cost 
 bíri;period
bíri; middle
bíri;degree, gravity
biribirí;silently (shedding tears)
 bírimọ; bathe (somone) 
bírimọ;circumcize
 bírimọ;dress someone for a special occasion
bírimọ;Dress her up
bíribẹịn;part of animal carcase between forequarters and hindquarters, after removal of guts  
bíri-ịgba; half, middle 
Bíseni pọọn;Bíseni dialect
Bíseni;Bíseni ibe in Northern Nzọn. Its towns are (from north to south) Tụ́bụrụ, Akpẹ́dẹ̀, Egbébìri, Tẹ́ịn (headquarters), and Kálama. Its ibe tẹmẹsúò is Síyaa Bìseni. Its ibe orú (deity) is Nbázọ̀
bísou;mooring-post
biyaí;hold discussion, meeting
biyaí;meeting
tọbọụbí;the boy
kíṃ ịbị ;the man, person
burubí;the yam 
bíạngà;this way,this side
bịá;be or become ripe or mature, ripen, as of banana, plantain, pawpaw,hence, come to a head,break out, erupt (as war)
bíyoubeni;a form of deliberate trance, sometimes carried to the point of suicide, in which one intentionally seals the body orifices and stops oneself from breathing (mostly practised by women) 
bíḅị barị ;recant
bíḅị danghaịmọ;pout
 bíḅị dei;deny what has been said before
bíḅị dị ;talk in a forward way (of a younger person, not showing respect to a senior one)
 bíḅị inderi;fail to speak out what one has in mind
 bíḅị indori;fail to speak out what one has in mind
bíḅị ịma ;compress the lips
bíḅị ịmbẹlẹmọ; eat something as appetizer
 bíḅị polo ;smack the lips
 bíḅị sụnmọ ;pout,make wry mouth,protrude lips as a sign of displeasure
bíḅị tọọn ;discuss, decide
bíḅị tụtụ; kiss
bára mọ bịbị mọ sụ̀ụ;"eat , eating; "
 ingo bíḅì;entrance of lobster-pot
ogidi bịbí;edge of matchet
bíḅị bọọmọ;interpret
bíḅị olomọ;distort someone’s statement
bíḅị pẹlẹ;make vow before God or deity
bíḅị sèí ;make pungent remarks, using sarcastic or caustic words
bíḅị tịbị ;main point of topic or statement
bíḅị tọọn;discuss,decide
bíḅị waịmọ;retort
ẹrẹ bịbí ̣;speech
bíḅị;mouth, entrance, edge,  speech, word,case (in court)   
 bíḅị-ọzarị; someone who talks
 bíḅịkọ̀nbọlọ́ ; fish
bíḅị-inderi;hesitant or reticent in speech,failing to speak out what one has in mind
bíḅị-ìṃbẹlẹ́; full of fine words, flowery
bíḅị-ịmbẹlẹmọ;culinary and medicinal herb, used to restore appetite and in pregnancy
 Bíḅịkàlá;male personal name especially of a hero-warrior of Igbedi
 bíḅịgbawarị ; court(house)
bíḅị gba;give statement in court
 bíḅị pẹlẹ;give judgement
bíḅị;(smaller)
bẹ́rẹ;larger)
bíḅị ;a portion of grass, strip or line followed directly by a person during manual labour 
 bíḅị-apụ̀ra ;lip
 Bíḅịbarị;female personal name
bíḅịbolou;inside of mouth
bíḅịbọọmọ-owei ;male) interpreter
bíḅịdị;talkative, garrulous
  bíḅị-dụnụ-ogou ;a smaller axe used in hollowing out wooden mortars and plates
bíḅị-ẹkpẹrẹ; great talker
 bíḅịfìg̣há ;not keeping mute over affairs, always directing by talking out
 bíbị-finigha-ègbe;taciturn person
bíḅịforo;curtain, cloth for screening windows, doors and bed
bíḅịpẹlẹbọ; judge
bíḅịpẹlẹowei;(male) judge
bíḅịpẹlẹ-erein; judgement day
 bíbịsara ;quick at speech
bíḅịsèí ;thrush, disease of children marked by fungus growth in the mouth and throa
bíḅịye ; tooth 
bịdẹpálì ̣;creeper
bịdẹpálì;"herb whose seeds stick to one’s clothes; medicinal herb "
bíẹ̣n;defecate
bíẹ̣n;buttocks
 bíẹ̣n;something invoked, sworn on, or vowed in the name of the gods
bíẹ̣n barị;recant or revoke an oath
bíẹ̣n fị; take an oath
bịdẹlọsí;one yard of cloth 
bịdẹkụọtá;n. one and a half yards of cloth
bíẹ̣n tịn;invoke a curse on
